"chant_id","incipit","volpiano","genre","mode","mode_name","finalis","composer","absolute_url","src_link"
"643187","Benedixisti*","1---kl--lk--lm--m--m---3---k--l--kh--k--l--k7---3","Introit verse","6T","","C","Anonymous","cantusdatabase.org/chant/643187","cantusdatabase.org/source/638308"
"638102","Ego cum meis sodalibus bene ","1---d--e---f---g--g---g--hg--fg--g---d--f---e--d---d---e7---f---g--g---hhg--f--h---fhf--g---k---j--h---k--l---j--k7--hgf---h--hg--fef--g---e---f--e---d--d---e---f--g--g---hf--hg--f-fG---g77---4","Dramatic element (used for items of liturgical drama that are not otherwise rubricked)","8","hypomixolydian","G","Anonymous","cantusdatabase.org/chant/638102","cantusdatabase.org/source/588308"
"674495","Asperges me domine hyssopo et ","1---gh--k--k---lM---n7--m--ml---m--l--jk---l---h--g--g---gh--k--lm---lml---k---kj--h---k7--jk---lkh--g--ghg--g---4","Antiphon","7","mixolydian","G","Anonymous","cantusdatabase.org/chant/674495","cantusdatabase.org/source/674494"
"675588","Summi largitor praemii spes qui ","1---c--d---df--c777--df---fe--d--e---g7---g---e---fe--d--ed7---c--d---c--d---dg7--fE--fe---deD--d--c7---c---d---e--fe--d7---ed--c--d--d77---3","Hymn","2","hypodorian","D","Anonymous","cantusdatabase.org/chant/675588","cantusdatabase.org/source/669030"
"675603","Veni creator spiritus mentes tuorum ","1---g--h---gf--g--hg7---k--lk--k---kJ7--g---h--k--lk---l7--m--l---k--lm---kj7--hg--kl---g--gh--k---jk777---h---gf--h--hjh---g7--fg--g---3---g---h7---3","Hymn","7","mixolydian","G","Anonymous","cantusdatabase.org/chant/675603","cantusdatabase.org/source/669030"
"560485","Spiritus domini super me evangelizare ","1---df--d--d---dc--d--f---f--e---d---f--fE--d--e--g--f---d--f--f--ef---g--fe---d---4---f--f--f--e--c--d---3","Antiphon","2","hypodorian","D","Anonymous","cantusdatabase.org/chant/560485","cantusdatabase.org/source/123756"
"682645","Alleluia Rex noster adveniet Christus ","1---cd--fg-fdf-ffd-fd--c--d-fghgh7--gjhgf-dfd-dc-cd-ff-ghfh-fgf---6------6---4---cd-fg---fdf-fedcfd--d---f--fghfh7-ghf--f--f---dfdc-cd-fgfedf-fdfdcd--d---h---g--f7-hhfhh-fgfg--d---d--dcfh--fh-ijgfh-dh-jgf-ghgh--jg---efg7--fdf-fd-fd---cd--d---cd-fg--fdf-ffdfdc--d7---3","Alleluia","1","dorian","D","Anonymous","cantusdatabase.org/chant/682645","cantusdatabase.org/source/682632"
"638445","Ad annuntiandum mane misericordiam tuam ","1---h---k--kl--l--l--lm---mlkj-khg-kgh-kk-lmlm-km-nlk-khg-hjhgh-lmnmnmlm--ml7---lnml-mnml--l--l--l--l--lm---mk-mlk-kh-kkhk-kkhk-lmlk-mlk-lg--g---k---k--k--k7--kl---lkjg-hkjg-hk-jkl-mkjh--hkhg-hk-kh-jkjh-kg-gf---fgh-kjhk-gh---kh-kl--lmkj-kl-ghk-mlkjh-jkh7---3","Gradual verse","2T","","A","Anonymous","cantusdatabase.org/chant/638445","cantusdatabase.org/source/638308"
"699517","Haurietis aquas in gaudio de ","f--k--kj7--hg---kl--k---l---jk--h--f---g---j--j--hg---h--g--f--f---","Antiphon","5","lydian","F","Anonymous","cantusdatabase.org/chant/699517","cantusdatabase.org/source/699507"
"638175","Ach ach fervens dulcedo absorbuit ","1---d---cb-ccd---d-ddfE--d---e--fg--g---f--f--fe--dc-cD---d---dca---cb7--cd--d---d---e--fg--g---g---gF--d---fed---dca--cd--fedc-d---4","Dramatic element (used for items of liturgical drama that are not otherwise rubricked)","2","hypodorian","D","Anonymous","cantusdatabase.org/chant/638175","cantusdatabase.org/source/588308"
"643323","Confiteantur domino misericordiae ejus et ","1---h--k--kl--l--lm---mlkj-khg-kgh-kk-lmlm-km-nlk-khg7-hjhgh-kl-mnm-nml--ml--l---lmnml-mnml--l--l--l--l--lm---mk-mlk-kh-kkhk-kkkh-kl-mlk-lh--h7---kk---k--k--k--k--kl---lkjg-hkjg-hk-jlm-kjh--hkhg-hk-kkh-kkjh-kg-gf---f--gh--hkjhk-gh---kh--kl--lmkj-kl-gh-kkmlkjh-kkh7---3","Gradual verse","2T","","A","Anonymous","cantusdatabase.org/chant/643323","cantusdatabase.org/source/638308"
"682636","Universi qui te exspectant non ","1---c--d--df-gfedf-ca-cdc--d---dc---df---gh--h--hg7-he-fgf---g---fe--cd--fg--efgf-gfe---d7--dfd--d-cd-ff-ghijh-fge-fd---4","Gradual","1","dorian","D","Anonymous","cantusdatabase.org/chant/682636","cantusdatabase.org/source/682632"
