"chant_id","incipit","volpiano","mode","finalis","absolute_url","src_link"
"642460","Dextera domini fecit virtutem dextera ","1---h--k--lm---mlk-jkhg-kgh-kk-lmlm-km-nlk-kkhg-hjhgh-lnmnml--ml--l---lnml-nml--l7---lm--mk-mlk-kh-kkhk-kkh-klmlk-mlk-lh--h---kk--k--kl---lkjg-hkjg-hk-jl-mkjh--h--hkhg-hk-kh-kkjh-kh-hg77---fgh-kjhk--gh--kh--kl---lmkj-kl---3","2T","A","cantusdatabase.org/chant/642460","cantusdatabase.org/source/638308"
"670606","Regem adoremus dominum qui pependit ","1---f--f---g--f--g--f7---gh--hjg--gf---f---ghghf7--d--f---gh---gh--hg---3---fh--j--k---3","6","F","cantusdatabase.org/chant/670606","cantusdatabase.org/source/669907"
"672111","Tunc praecepit eos omnes igne ","1---dh---k--h7--g---h--g---fE--ed---ef--g---cd--d--d---dC7---fE--e---f--g--gfghg---e--f--g--f---fe7--dc---d--efe--d--d---4---h--h--g--f--gh--g---3","1","D","cantusdatabase.org/chant/672111","cantusdatabase.org/source/669030"
"638152","Flos campi cadit vento pluvia ","1---jkjh-jhj---kj-jjlK--jh---k--lmlJ7---j-h-hhkjhgg--h---h-hhkj--hg--g---h--g-hhjh---gh--h---k---l--m--nm--l-llnlnmlkij--k7---ijhg---j-jjlK--lmlkk--ijhg-h---hij---ggF--g--ijhg--h---hjhg-hg--h--jk-kl--k---j--klkjhg--h7---hij--hgh---k---l--mnm-m-mmnmnmllk---ijhg-h---hg---h-ijjkkJ--hg---j-jjl-k-llml--kjhgg--h7---4","2T","A","cantusdatabase.org/chant/638152","cantusdatabase.org/source/588308"
"588535","O beata infantia electi Disibodi ","1---hmlm---nmlk--kkl--jh---klk--jH--kjh-j--h---g--h-hhkk-l--k---mnmlk--lkjh--klkjh-jhg--h7---hgh---k---l--jh---hg--h---k--jh--j--g---h---k-llm---nm--lm--m---nnm77--l--kjh--g---j-kklk--jhg--h---g---h--j--k--l--l---lkj-k--jh---gh---m-nno7--o--nm--lk---l--mnnm--m---nlk-kJ--gj-kkl-lkj-k--klkjh---hgh--kkh--j-kklkl7--jhg-h-jhg-h-kkh-j-kklkljhgf-g-ggj-kkh7---4","1T","A","cantusdatabase.org/chant/588535","cantusdatabase.org/source/588308"
"638375","Excita domine potentiam tuam et ","1---h--k--lm---mlk-jkhg-kgh-kk-lmlm-km-nlk-khg-hkhgh-lmnmnml7--ml--l---l--lmnml-mnml--l--l---l--l---lm---mk-mlk-khk-k-kh-klmlk-mlk-lh--h---f7---fgh--h---hkjhk--gh--kh-kl---lmk-jkklghk-kmlkjh-kkh---3","2T","A","cantusdatabase.org/chant/638375","cantusdatabase.org/source/638308"
"642447","Surrexit dominus et apparuit Petro ","1---h--khk--jkl---mom-no--l--klkjh---h---h7--hlk-lm--k--k---klk--k---mnml-mnmlkJ--lk-hijk-hjhg-k-hjhg-khk--klk--k7---4","6T","C","cantusdatabase.org/chant/642447","cantusdatabase.org/source/638308"
"699155","Mitte manum tuam in latus ","fg--g---h--g---h--g---f---h--kj---g--g---ghg---f--gh---fe--d---g--g--g--gh---f---h--j--k---h--h--g--g---","8","g","cantusdatabase.org/chant/699155","cantusdatabase.org/source/699152"
"682633","Ad te levavi animam meam ","1---d---cf---gh--h--g7---gjk--h--gh---fg--ghg-gf7---h--k---klk--kl7---g---g---f--fhk--kh---kkk---hg--ghfg--ghg--g---k--kkk-hkh7---h--klk--kh--hkhk---g---g--g--ghjk--jh---hf--f---fh--hg--g7---g--g--gj-kh--g---g---ghk---k--klk--hkh---g---h7--hf-hg--ghg--g---4","8","G","cantusdatabase.org/chant/682633","cantusdatabase.org/source/682632"
"672766","Obtulerunt pro eo domino par ","1---a--a--cde7--d---d---d--f---fef--de--dc---def-gefe---d--de7-fede--ed---f---fe--g---fgfede--ed---de-fedc7--dfef-gf--fede--dc---3---c--d---fef--c---ded7-dcb-cba-ba---de-fedc---f--gefe---d--de-fede7--ed---4","2","D","cantusdatabase.org/chant/672766","cantusdatabase.org/source/672573"
"643173","Numquid fortitudo lapidum est fortitudo ","1---kk--kJ---j--k7--lkj-kml-mk-kj--j---j--jlkk--jk---jk---h--l--m--mnm-nl-lk---nk-lnl-mnm--nm---kJ---kl--lk---ln7--nm---nnnl-mnml--kl--ijk---h---kJ---kl--lk---ln--nm---nnnl-mnml--kl--jk---h---3","2T","A","cantusdatabase.org/chant/643173","cantusdatabase.org/source/638308"
"702064","Hoc opus nostrae salutis ordo ","1c-e-gh-hg-h-k-kj-hg-j-k-l-hg-k-jh-h-h-hjkh-h-ghg-e-dc-de-efe-e-eh-g-ed-f-e-d-h-hjkj-h-ghg-e-ed-de-efe-e-eh-hg-ed-f-e-d","2","D","cantusdatabase.org/chant/702064","cantusdatabase.org/source/702061"
"700995","Et in servis suis dominus ","f---d---e--f---g--f---f--g--hh---g--f--g--f--e---","4","e","cantusdatabase.org/chant/700995","cantusdatabase.org/source/700994"
"588653","Et ideo puellae istae per ","1---hm-nmlkkh-ijhg---h-hhk--jh--h---m--o--p---lm--m---mlkk---llK--jh---gh--h---e--g--h--hhG--kjh-llkhge-ggh7---egh--kjlJ--jh-Hj--gh---m---o--p--nmll-m---mlk-kkl--jhh-jhgg-h---h--ge--gh--hg---kjl--jhkhg--h---3---h--h--hg--gf--gh--g7---3","1T","A","cantusdatabase.org/chant/588653","cantusdatabase.org/source/588309"
"674495","Asperges me domine hyssopo et ","1---gh--k--k---lM---n7--m--ml---m--l--jk---l---h--g--g---gh--k--lm---lml---k---kj--h---k7--jk---lkh--g--ghg--g---4","7","G","cantusdatabase.org/chant/674495","cantusdatabase.org/source/674494"
