chant_id,incipit,genre,mode,mode_name,finalis,composer,absolute_url,src_link
643187,Benedixisti*,Q224377,6T,,C,Anonymous,cantusdatabase.org/chant/643187,cantusdatabase.org/source/638308
638102,Ego cum meis sodalibus bene ,https://cantusdatabase.org/genre/134,8,Q57976142,G,Anonymous,cantusdatabase.org/chant/638102,cantusdatabase.org/source/588308
674495,Asperges me domine hyssopo et ,Q582093,7,Q321814,G,Anonymous,cantusdatabase.org/chant/674495,cantusdatabase.org/source/674494
675588,Summi largitor praemii spes qui ,Q484692,2,Q842766,D,Anonymous,cantusdatabase.org/chant/675588,cantusdatabase.org/source/669030
675603,Veni creator spiritus mentes tuorum ,Q484692,7,Q321814,G,Anonymous,cantusdatabase.org/chant/675603,cantusdatabase.org/source/669030
560485,Spiritus domini super me evangelizare ,Q582093,2,Q842766,D,Anonymous,cantusdatabase.org/chant/560485,cantusdatabase.org/source/123756
682645,Alleluia Rex noster adveniet Christus ,Q4062651,1,Q960729,D,Anonymous,cantusdatabase.org/chant/682645,cantusdatabase.org/source/682632
638445,Ad annuntiandum mane misericordiam tuam ,Q849305,2T,,A,Anonymous,cantusdatabase.org/chant/638445,cantusdatabase.org/source/638308
699517,Haurietis aquas in gaudio de ,Q582093,5,Q686115,F,Anonymous,cantusdatabase.org/chant/699517,cantusdatabase.org/source/699507
638175,Ach ach fervens dulcedo absorbuit ,https://cantusdatabase.org/genre/134,2,Q842766,D,Anonymous,cantusdatabase.org/chant/638175,cantusdatabase.org/source/588308
643323,Confiteantur domino misericordiae ejus et ,Q849305,2T,,A,Anonymous,cantusdatabase.org/chant/643323,cantusdatabase.org/source/638308
682636,Universi qui te exspectant non ,Q849305,1,Q960729,D,Anonymous,cantusdatabase.org/chant/682636,cantusdatabase.org/source/682632
672410,Ecce ancilla domini fiat mihi ,Q582093,8,Q57976142,G,Anonymous,cantusdatabase.org/chant/672410,cantusdatabase.org/source/669030
638079,Vide quid illud sit quo ,https://cantusdatabase.org/genre/134,4,Q1641387,E,Anonymous,cantusdatabase.org/chant/638079,cantusdatabase.org/source/588308
672474,Simon Bar Jona tu vocaberis ,Q582093,4,Q1641387,E,Anonymous,cantusdatabase.org/chant/672474,cantusdatabase.org/source/669030
693877,Maria ergo unxit pedes Jesu ,Q582093,6T,,C,Anonymous,cantusdatabase.org/chant/693877,cantusdatabase.org/source/693577
