chant_id,incipit,genre,genre_@id,mode,mode_@id,finalis,composer,composer_@id,absolute_url,src_link,cantus_id
561749,Vere dominus est in loco ,Responsory verse,Responsory verse,1,Q960729,F,Anonymous,Q4233718,https://cantusdatabase.org/chant/561749,https://cantusdatabase.org/source/123756,006540a
179688,In mandatis ejus volet nimis,Antiphon,Q582093,7?,7?,E,Anonymous,Q4233718,https://cantusdatabase.org/chant/179688,https://cantusdatabase.org/source/123714,003251
672047,Videte manus meas et pedes ,Antiphon,Q582093,8,Q57976142,G,Anonymous,Q4233718,https://cantusdatabase.org/chant/672047,https://cantusdatabase.org/source/669163,005400
563317,Scriptum est enim quia domus ,Antiphon,Q582093,8,Q57976142,G,Anonymous,Q4233718,https://cantusdatabase.org/chant/563317,https://cantusdatabase.org/source/123756,004836
561923,Accepit autem omnes timor et ,Antiphon,Q582093,1,Q960729,D,Anonymous,Q4233718,https://cantusdatabase.org/chant/561923,https://cantusdatabase.org/source/123756,001216
670692,Scriptum est enim quia domus ,Antiphon,Q582093,8,Q57976142,G,Anonymous,Q4233718,https://cantusdatabase.org/chant/670692,https://cantusdatabase.org/source/669163,004836
562348,Congratulamini mihi omnes qui diligitis ,Responsory,Q604748,3,Q1342409,E,Anonymous,Q4233718,https://cantusdatabase.org/chant/562348,https://cantusdatabase.org/source/123756,006323
560856,Licuit sanguine loqui quibus lingua ,Antiphon,Q582093,8,Q57976142,G,Anonymous,Q4233718,https://cantusdatabase.org/chant/560856,https://cantusdatabase.org/source/123756,003627
562605,Quid est hoc quod dicit ,Antiphon,Q582093,3,Q1342409,E,Anonymous,Q4233718,https://cantusdatabase.org/chant/562605,https://cantusdatabase.org/source/123756,004519
561647,Advenerunt nobis dies paenitentiae ad ,Antiphon,Q582093,8,Q57976142,G,Anonymous,Q4233718,https://cantusdatabase.org/chant/561647,https://cantusdatabase.org/source/123756,001294
560737,Stephanus autem plenus gratia et ,Responsory verse,Responsory verse,8,Q57976142,G,Anonymous,Q4233718,https://cantusdatabase.org/chant/560737,https://cantusdatabase.org/source/123756,007704a
323810,Speciosa facta es et suavis,Antiphon,Q582093,4T,4T,A,Anonymous,Q4233718,https://cantusdatabase.org/chant/323810,https://cantusdatabase.org/source/123711,004988
558265,O mundi lampas et margarita,Antiphon,Q582093,6T,6T,C,Anonymous,Q4233718,https://cantusdatabase.org/chant/558265,https://cantusdatabase.org/source/123716,004049
560381,Leva Jerusalem oculos et vide ,Antiphon,Q582093,1,Q960729,D,Anonymous,Q4233718,https://cantusdatabase.org/chant/560381,https://cantusdatabase.org/source/123756,003606
561724,Generatio haec prava et perversa ,Antiphon,Q582093,8,Q57976142,G,Anonymous,Q4233718,https://cantusdatabase.org/chant/561724,https://cantusdatabase.org/source/123756,002935
319138,Multa quidem et alia signa,Antiphon,Q582093,6T,6T,C,Anonymous,Q4233718,https://cantusdatabase.org/chant/319138,https://cantusdatabase.org/source/123709,003828
467249,Intuemini quantus sit,Antiphon,Q582093,4T,4T,A,Anonymous,Q4233718,https://cantusdatabase.org/chant/467249,https://cantusdatabase.org/source/123730,003391
562090,Ubi tentaverunt me patres vestri ,Invitatory antiphon,Invitatory antiphon,7,Q321814,G,Anonymous,Q4233718,https://cantusdatabase.org/chant/562090,https://cantusdatabase.org/source/123756,001168
670519,Ante luciferum genitus et ante ,Antiphon,Q582093,2,Q842766,D,Anonymous,Q4233718,https://cantusdatabase.org/chant/670519,https://cantusdatabase.org/source/669163,001434
671344,Crucem tuam adoramus domine et ,Antiphon,Q582093,2,Q842766,D,Anonymous,Q4233718,https://cantusdatabase.org/chant/671344,https://cantusdatabase.org/source/669907,001953
