musical_work_id,musical_work_variant_titles,composer,file_format,url_to_file
1,['Quanto più desiar sento’l mio core'],Bernardo Pisano,xml,https://db.simssa.ca/files/1
2,['Si è debile el filo a cui s’attiene'],Bernardo Pisano,xml,https://db.simssa.ca/files/5
8,['Amore amor quando io speravo'],Bernardo Pisano,xml,https://db.simssa.ca/files/29
18,"[""Poich'io parti da cui partir non posso""]",Bernardo Pisano,pdf,https://db.simssa.ca/files/69
19,['Hor vedi Amore che giovinetta donna'],Bernardo Pisano,xml,https://db.simssa.ca/files/73
20,['Amor che mi tormenti'],Sebastiano Festa,xml,https://db.simssa.ca/files/77
21,['Quando el suave mio fido conforto'],Sebastiano Festa,pdf,https://db.simssa.ca/files/81
22,['Ben mi credea passar mio tempo homai'],Sebastiano Festa,xml,https://db.simssa.ca/files/85
23,"[""Amor se vuoi ch'io torni al giogho anticho""]",Sebastiano Festa,xml,https://db.simssa.ca/files/89
24,"[""Perch'ai viso d'amor portava insegnia""]",Sebastiano Festa,xml,https://db.simssa.ca/files/93
25,['Ο passi sparsi ο pensier vaghi et pronti'],Sebastiano Festa,sibelius,https://db.simssa.ca/files/100
26,['Amor quando fioriva mia speme'],Sebastiano Festa,xml,https://db.simssa.ca/files/101
27,"['Quanta mai leggiadria, quanta beliate']",Bartolomeo Tromboncino,xml,https://db.simssa.ca/files/105
28,['Fralle infelice vivo più felice'],,xml,https://db.simssa.ca/files/109
29,"[""S'il dixi mai ch'i vengha in odio a quella""]",,xml,https://db.simssa.ca/files/113
30,"[""Quel foco ch'io pensai che fussi spento""]",,xml,https://db.simssa.ca/files/117
31,"[""So ben che lei non sa quanto chi l'amo""]",Michele Pesenti,xml,https://db.simssa.ca/files/121
32,['Quando lo pomo vien da lo pomaro'],Bartolomeo Tromboncino,xml,https://db.simssa.ca/files/125
33,['Ο Dio che la brunetta mia'],Michele Pesenti,xml,https://db.simssa.ca/files/129
34,['Hora è di maggio'],Heinrich Isaac,xml,https://db.simssa.ca/files/133
35,['Che fa la ramanzina'],Loyset Compère,pdf,https://db.simssa.ca/files/137
36,"['Che debbio far che mi consigli Amore? [3, Tromboncino, F&H]']",Bartolomeo Tromboncino,xml,https://db.simssa.ca/files/141
37,['La tortorella el semplice uccelletto'],Jacob Obrecht,xml,https://db.simssa.ca/files/145
38,['Scaramella fa la guerra'],des Prez Josquin,xml,https://db.simssa.ca/files/149
39,"[""[Zibaldone] C.: Fortuna disperata; Α.: Vidi la forosetta in un boschetto; T.: Voi m'havete svergognié; B.: Fortuna - mangio biscotti""]",,xml,https://db.simssa.ca/files/153
