musical_work_id,musical_work_variant_titles,composer,file_format,url_to_file
1,['Quanto più desiar sento’l mio core'],Bernardo Pisano,xml,https://db.simssa.ca/files/1
2,['Si è debile el filo a cui s’attiene'],Bernardo Pisano,xml,https://db.simssa.ca/files/5
3,['De perché in odio m’hai'],Bernardo Pisano,midi,https://db.simssa.ca/files/10
4,['Son io donna qual mostri ogni tuo bene'],Bernardo Pisano,xml,https://db.simssa.ca/files/13
5,['Son io donna (2) qual mostri ogni tuo bene'],Bernardo Pisano,xml,https://db.simssa.ca/files/17
6,['Nella stagion che’l ciel rapido inchina'],Bernardo Pisano,xml,https://db.simssa.ca/files/21
7,['Donna benché di rado et con riguardo'],Bernardo Pisano,xml,https://db.simssa.ca/files/25
8,['Amore amor quando io speravo'],Bernardo Pisano,xml,https://db.simssa.ca/files/29
9,['Amor se vuoi ch’i torni al giogho anticho'],Bernardo Pisano,xml,https://db.simssa.ca/files/33
10,['Perché donna non vuoi'],Bernardo Pisano,xml,https://db.simssa.ca/files/37
11,['Chiare fresche et dolc’acque'],Bernardo Pisano,xml,https://db.simssa.ca/files/41
12,"['Che deggio far che mi consigli Amore? [2, Pisano, F&H]']",Bernardo Pisano,xml,https://db.simssa.ca/files/45
13,['Giamai non veder gli occhi'],Bernardo Pisano,xml,https://db.simssa.ca/files/49
14,['Chi della fede altrui piglia sospecto'],Bernardo Pisano,xml,https://db.simssa.ca/files/53
15,['Cosi nel mio parlare voglio essere aspro'],Bernardo Pisano,xml,https://db.simssa.ca/files/57
16,"[""Tanta pietà cor mio talhor m'assale""]",Bernardo Pisano,xml,https://db.simssa.ca/files/61
17,"[""Nuova angioletta sovra l'ale accorta""]",Bernardo Pisano,xml,https://db.simssa.ca/files/65
18,"[""Poich'io parti da cui partir non posso""]",Bernardo Pisano,xml,https://db.simssa.ca/files/69
19,['Hor vedi Amore che giovinetta donna'],Bernardo Pisano,xml,https://db.simssa.ca/files/73
20,['Amor che mi tormenti'],Sebastiano Festa,xml,https://db.simssa.ca/files/77
21,['Quando el suave mio fido conforto'],Sebastiano Festa,xml,https://db.simssa.ca/files/81
22,['Ben mi credea passar mio tempo homai'],Sebastiano Festa,xml,https://db.simssa.ca/files/85
23,"[""Amor se vuoi ch'io torni al giogho anticho""]",Sebastiano Festa,xml,https://db.simssa.ca/files/89
24,"[""Perch'ai viso d'amor portava insegnia""]",Sebastiano Festa,xml,https://db.simssa.ca/files/93
25,['Ο passi sparsi ο pensier vaghi et pronti'],Sebastiano Festa,sibelius,https://db.simssa.ca/files/100
26,['Amor quando fioriva mia speme'],Sebastiano Festa,xml,https://db.simssa.ca/files/101
27,"['Quanta mai leggiadria, quanta beliate']",Bartolomeo Tromboncino,xml,https://db.simssa.ca/files/105
