musical_work_id,sacred_or_secular,contribution_id,VIAF ID,genre_style_@id,genre_style,genre_type,genre_type_@id,url_to_file,contributor_role,contributor_role_@id,source_instantiation_portion,source_title,source_type,source_url,file_type,file_format,file_format_@id,musical_work_variant_titles,file_version,contributor_name,contributor_name_@id
1,False,1,76504834.0,Q4692,Renaissance,Madrigal,Q193217,https://db.simssa.ca/files/1,COMPOSER,Q36834,1.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,xml,Q2115,['Quanto più desiar sento’l mio core'],,Bernardo Pisano,Q2920493
1,False,1,76504834.0,Q4692,Renaissance,Madrigal,Q193217,https://db.simssa.ca/files/2,COMPOSER,Q36834,1.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,midi,Q10610388,['Quanto più desiar sento’l mio core'],,Bernardo Pisano,Q2920493
1,False,1,76504834.0,Q4692,Renaissance,Madrigal,Q193217,https://db.simssa.ca/files/3,COMPOSER,Q36834,1.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,pdf,Q42332,['Quanto più desiar sento’l mio core'],,Bernardo Pisano,Q2920493
1,False,1,76504834.0,Q4692,Renaissance,Madrigal,Q193217,https://db.simssa.ca/files/4,COMPOSER,Q36834,1.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,sibelius,Q27967347,['Quanto più desiar sento’l mio core'],,Bernardo Pisano,Q2920493
1,False,2,,Q4692,Renaissance,Madrigal,Q193217,https://db.simssa.ca/files/1,AUTHOR,Q482980,1.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,xml,Q2115,['Quanto più desiar sento’l mio core'],,Anonymous ,Q4233718
1,False,2,,Q4692,Renaissance,Madrigal,Q193217,https://db.simssa.ca/files/2,AUTHOR,Q482980,1.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,midi,Q10610388,['Quanto più desiar sento’l mio core'],,Anonymous ,Q4233718
1,False,2,,Q4692,Renaissance,Madrigal,Q193217,https://db.simssa.ca/files/3,AUTHOR,Q482980,1.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,pdf,Q42332,['Quanto più desiar sento’l mio core'],,Anonymous ,Q4233718
1,False,2,,Q4692,Renaissance,Madrigal,Q193217,https://db.simssa.ca/files/4,AUTHOR,Q482980,1.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,sibelius,Q27967347,['Quanto più desiar sento’l mio core'],,Anonymous ,Q4233718
2,False,3,76504834.0,Q4692,Renaissance,Madrigal,Q193217,https://db.simssa.ca/files/5,COMPOSER,Q36834,2.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,xml,Q2115,['Si è debile el filo a cui s’attiene'],,Bernardo Pisano,Q2920493
2,False,3,76504834.0,Q4692,Renaissance,Madrigal,Q193217,https://db.simssa.ca/files/6,COMPOSER,Q36834,2.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,midi,Q10610388,['Si è debile el filo a cui s’attiene'],,Bernardo Pisano,Q2920493
