musical_work_id,musical_work_variant_titles,sacred_or_secular,contributor_given_name,contributor_sur_name,contribution_id,contributor_role,contributor_certainty_of_attribution,source_instantiation_portion,source_title,source_type,source_url,file_type,file_format,file_version,url_to_file
,,,,,,,,1,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/1
,,,,,,,,2,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/2
,,,,,,,,3,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/3
,,,,,,,,4,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/4
,,,,,,,,5,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/5
,,,,,,,,6,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/6
,,,,,,,,7,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/7
7,['Salve regina I'],True,Pierre,La Rue,7,COMPOSER,True,8,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/8
,,,,,,,,9,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/9
8,['Salve regina VI'],True,Pierre,La Rue,8,COMPOSER,True,10,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/10
,,,,,,,,11,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/11
,,,,,,,,12,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/12
,,,,,,,,13,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/13
,,,,,,,,14,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/14
12,['Lauda anima mea dominum'],True,Pierre,La Rue,12,COMPOSER,True,15,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/15
13,['Incessament mon povre'],False,Pierre,La Rue,13,COMPOSER,True,16,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/16
,,,,,,,,17,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/17
15,['Il est bien heureux'],False,Pierre,La Rue,15,COMPOSER,True,18,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/18
16,['De loeil de la fille du roy'],False,Pierre,La Rue,16,COMPOSER,True,19,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/19
,,,,,,,,20,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/20
,,,,,,,,21,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/21
,,,,,,,,22,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/22
,,,,,,,,23,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/23
19,['Magnificat Octavi toni'],True,Pierre,La Rue,19,COMPOSER,True,24,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/24
,,,,,,,,25,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/25
,,,,,,,,26,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/26
20,['Pour ung jamais'],False,Pierre,La Rue,20,COMPOSER,True,27,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/27
,,,,,,,,28,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/28
,,,,,,,,29,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/29
,,,,,,,,30,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/30
24,['Considera Israel'],True,Pierre,La Rue,24,COMPOSER,True,31,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/31
,,,,,,,,32,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/32
25,['Tous les regretz'],False,Pierre,La Rue,25,COMPOSER,True,33,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/33
,,,,,,,,34,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/34
,,,,,,,,35,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/35
,,,,,,,,36,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/36
,,,,,,,,37,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/37
,,,,,,,,38,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/38
28,['Magnificat Secundi toni'],True,Pierre,La Rue,28,COMPOSER,True,39,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/39
,,,,,,,,40,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/40
,,,,,,,,41,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/41
,,,,,,,,42,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/42
,,,,,,,,43,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/43
,,,,,,,,44,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/44
,,,,,,,,45,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/45
30,['Tous nobles coeurs'],False,Pierre,La Rue,30,COMPOSER,True,46,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/46
,,,,,,,,47,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/47
,,,,,,,,48,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/48
,,,,,,,,49,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/49
,,,,,,,,50,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/50
,,,,,,,,51,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/51
,,,,,,,,52,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/52
33,['Magnificat Sexti toni'],True,Pierre,La Rue,33,COMPOSER,True,53,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/53
34,['Autant en emporte le vent'],False,Pierre,La Rue,34,COMPOSER,True,54,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/54
,,,,,,,,55,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/55
,,,,,,,,56,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/56
,,,,,,,,57,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/57
,,,,,,,,58,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/58
,,,,,,,,59,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/59
36,['A vous non autre'],False,Pierre,La Rue,36,COMPOSER,True,60,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/60
,,,,,,,,61,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/61
,,,,,,,,62,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/62
,,,,,,,,63,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/63
37,['Da pacem Domine'],True,Pierre,La Rue,37,COMPOSER,True,64,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/64
,,,,,,,,65,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/65
,,,,,,,,66,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/66
,,,,,,,,67,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/67
,,,,,,,,68,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/68
,,,,,,,,69,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/69
,,,,,,,,70,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/70
,,,,,,,,71,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/71
,,,,,,,,72,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/72
,,,,,,,,73,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/73
,,,,,,,,74,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/74
40,['Absalon fili mi'],True,Pierre,La Rue,40,COMPOSER,True,75,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/75
,,,,,,,,76,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/76
,,,,,,,,77,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/77
41,['Pourquoy tant'],False,Pierre,La Rue,41,COMPOSER,True,78,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/78
,,,,,,,,79,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/79
,,,,,,,,80,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/80
43,['Gaude virgo mater Christi'],True,Pierre,La Rue,43,COMPOSER,True,81,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/81
,,,,,,,,82,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/82
,,,,,,,,83,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/83
,,,,,,,,84,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/84
,,,,,,,,85,RenComp7,DIGITAL,,sym,.mid,,https://db.simssa.ca/files/85
