popularity_name,tune_id,popularity_tunebooks,tunes_setting_id,tunes_name,tunes_type,tunes_meter,tunes_mode,tunes_abc,tunes_date,tunes_username,recordings_id,recordings_artist,recordings_recording,recordings_track,recordings_number,recordings_tune,aliases_name,aliases_alias
,18105,,35234,"$150 Boot, The",polka,2/4,Gmajor,"|:d>g fe|dB AG|E/F/G E/F/G|BA GF|
d>g fe|dB AG|E/F/G E/F/G|BA G2:|
|:e>f ga|ba gf|e/f/g e/f/g|d/c/B/A/ BA|
e>f ga|ba gf|e/f/g e/f/g|ag g2:|",2019-07-06 04:39:09,NfldWhistler,2719.0,áthas,Áthas,1.0,2.0,"$150 Boot, The",,
'G Iomain Nan Gamhna,11931,53.0,11931,'G Iomain Nan Gamhna,slip jig,9/8,Gmajor,"dBB B2 A BAG|dBB Bcd efg|dBB B2 A BAG|eAA dBG A2 e|
dBB B2 A BAG|dBB Bcd efg|dBB B2 A BAG|eAA dBG A2 A|
BAB g2 e fed|BAB e/f/g e f2 A|BAB g2 e fed|eAA ABd e2 A|
BAB g2 e fed|BAB e/f/g e f2 f|def gfe fed|eAA ABd efg|",2012-05-17 07:49:26,iliketurtles,1018.0,Battlefield Band,There's A Buzz,6.0,1.0,Tending The Steer,'G Iomain Nan Gamhna,"[""'G Ioman Nan Gamhan 's Mi Muladach"", 'Tending The Steer', 'Tendir The Steer... With A Heavy Heart']"
'G Iomain Nan Gamhna,11931,53.0,11931,'G Iomain Nan Gamhna,slip jig,9/8,Gmajor,"dBB B2 A BAG|dBB Bcd efg|dBB B2 A BAG|eAA dBG A2 e|
dBB B2 A BAG|dBB Bcd efg|dBB B2 A BAG|eAA dBG A2 A|
BAB g2 e fed|BAB e/f/g e f2 A|BAB g2 e fed|eAA ABd e2 A|
BAB g2 e fed|BAB e/f/g e f2 f|def gfe fed|eAA ABd efg|",2012-05-17 07:49:26,iliketurtles,869.0,Blazin' Fiddles,The Old Style,1.0,1.0,'G Iomain Nan Gamhna,'G Iomain Nan Gamhna,"[""'G Ioman Nan Gamhan 's Mi Muladach"", 'Tending The Steer', 'Tendir The Steer... With A Heavy Heart']"
'G Iomain Nan Gamhna,11931,53.0,11931,'G Iomain Nan Gamhna,slip jig,9/8,Gmajor,"dBB B2 A BAG|dBB Bcd efg|dBB B2 A BAG|eAA dBG A2 e|
dBB B2 A BAG|dBB Bcd efg|dBB B2 A BAG|eAA dBG A2 A|
BAB g2 e fed|BAB e/f/g e f2 A|BAB g2 e fed|eAA ABd e2 A|
BAB g2 e fed|BAB e/f/g e f2 f|def gfe fed|eAA ABd efg|",2012-05-17 07:49:26,iliketurtles,3923.0,Julie Fowlis,Live At Perthshire Amber,2.0,3.0,'G Ioman Nan Gamhan 's Mi Muladach,'G Iomain Nan Gamhna,"[""'G Ioman Nan Gamhan 's Mi Muladach"", 'Tending The Steer', 'Tendir The Steer... With A Heavy Heart']"
'G Iomain Nan Gamhna,11931,53.0,11931,'G Iomain Nan Gamhna,slip jig,9/8,Gmajor,"dBB B2 A BAG|dBB Bcd efg|dBB B2 A BAG|eAA dBG A2 e|
dBB B2 A BAG|dBB Bcd efg|dBB B2 A BAG|eAA dBG A2 A|
BAB g2 e fed|BAB e/f/g e f2 A|BAB g2 e fed|eAA ABd e2 A|
BAB g2 e fed|BAB e/f/g e f2 f|def gfe fed|eAA ABd efg|",2012-05-17 07:49:26,iliketurtles,3487.0,Julie Fowlis,Uam,1.0,3.0,'G Ioman Nan Gamhan 's Mi Muladach,'G Iomain Nan Gamhna,"[""'G Ioman Nan Gamhan 's Mi Muladach"", 'Tending The Steer', 'Tendir The Steer... With A Heavy Heart']"
'G Iomain Nan Gamhna,11931,53.0,11931,'G Iomain Nan Gamhna,slip jig,9/8,Gmajor,"dBB B2 A BAG|dBB Bcd efg|dBB B2 A BAG|eAA dBG A2 e|
dBB B2 A BAG|dBB Bcd efg|dBB B2 A BAG|eAA dBG A2 A|
BAB g2 e fed|BAB e/f/g e f2 A|BAB g2 e fed|eAA ABd e2 A|
BAB g2 e fed|BAB e/f/g e f2 f|def gfe fed|eAA ABd efg|",2012-05-17 07:49:26,iliketurtles,4236.0,Various Artists,1991 World Pipe Band Championships,14.0,2.0,Tending The Steer,'G Iomain Nan Gamhna,"[""'G Ioman Nan Gamhan 's Mi Muladach"", 'Tending The Steer', 'Tendir The Steer... With A Heavy Heart']"
,15326,,28560,'S Ann An Ìle,strathspey,4/4,Gmajor,"|:G>A B>G c>A B>G|E<E A>G F<D D2|G>A B>G c>A B>G|E>A F>D G2 G2:|
|:D>D D>D (3DDD D>D|d>B A>B G<E E2|D>D D>D (3DDD D>D|d>B A>B G2 G2:|",2016-03-31 15:34:45,danninagh,5919.0,"Ben Miller, Anita MacDonald, Zakk Cormier",South Haven,8.0,4.0,'S Ann An ìle Bhòidheach,'S Ann An Ìle,"[""'S Ann An ìle Bhòidheach"", ""'Sann An Ile""]"
,15326,,28560,'S Ann An Ìle,strathspey,4/4,Gmajor,"|:G>A B>G c>A B>G|E<E A>G F<D D2|G>A B>G c>A B>G|E>A F>D G2 G2:|
|:D>D D>D (3DDD D>D|d>B A>B G<E E2|D>D D>D (3DDD D>D|d>B A>B G2 G2:|",2016-03-31 15:34:45,danninagh,6929.0,Charlie Grey and Joseph Peach,Live in Concert,8.0,2.0,'S ann an Ile,'S Ann An Ìle,"[""'S Ann An ìle Bhòidheach"", ""'Sann An Ile""]"
,15326,,28560,'S Ann An Ìle,strathspey,4/4,Gmajor,"|:G>A B>G c>A B>G|E<E A>G F<D D2|G>A B>G c>A B>G|E>A F>D G2 G2:|
|:D>D D>D (3DDD D>D|d>B A>B G<E E2|D>D D>D (3DDD D>D|d>B A>B G2 G2:|",2016-03-31 15:34:45,danninagh,7432.0,Glenfinnan Ceilidh Band,Road to Glenfinnan,11.0,2.0,'S Ann An Ile,'S Ann An Ìle,"[""'S Ann An ìle Bhòidheach"", ""'Sann An Ile""]"
,15326,,28560,'S Ann An Ìle,strathspey,4/4,Gmajor,"|:G>A B>G c>A B>G|E<E A>G F<D D2|G>A B>G c>A B>G|E>A F>D G2 G2:|
|:D>D D>D (3DDD D>D|d>B A>B G<E E2|D>D D>D (3DDD D>D|d>B A>B G2 G2:|",2016-03-31 15:34:45,danninagh,4819.0,Skeeal,Slipway,12.0,1.0,'S Ann An Ìle,'S Ann An Ìle,"[""'S Ann An ìle Bhòidheach"", ""'Sann An Ile""]"
