tune_id,name,alias
1,Cooley's,"['Cooleys', 'Joe Cooley', ""Joe Cooley's"", ""Joe Cooley's Fancy"", 'Joe Cooleys', ""Luttrell's Pass"", 'Put The Cake In The Dresser', 'Put The Cake On The Dresser', 'Reaping The Rye', 'Ríl Na Tulaí', 'Tulla, The']"
2,"Bucks Of Oranmore, The","['Bucks Of Aranmore, The', 'Bucks Of Arranmore, The', 'Bucks Of Bohermore, The', 'Bucks Of Clare, The', 'Bucks Of Oran Mor, The', 'Bucks, The', 'Hearty Bucks Of Oranmore, The', 'Hearty Bucks, The']"
3,Boil The Breakfast Early,"[""Peadar's"", ""Pedar's""]"
4,"Belfast, The","['Great Eastern', 'Great Western', 'Great Western Clog', 'Great Western Clog, The', 'Great Western Lancashire Clog', 'Great Western Lancashire Clog, The', ""Millicen's Favourite"", ""Millicent's"", ""Millicent's Favourite"", 'Royal Belfast', 'Royal Belfast, The', ""Sailor's Delight"", ""Sweep's"", ""Sweep's, The"", 'Sweeps, The', ""Van Dam's""]"
5,"Blarney Pilgrim, The","[""Dean Lloyd's Jig #1"", ""Jackson's Rambles"", 'Killoughery', 'Killoughery Jig No. 1']"
6,"This Is My Love, Do You Like Her?","[""Anthony Frawley's Favourite"", ""Anton A'Bhearnais"", ""Art O'Keeffe's"", ""Biddy Crowley's Ball"", 'Bonnie Wee Charlie', 'Bundle And Go', ""Con Curtin's Frolics"", ""Cronin's"", 'Culcrevie', 'I Found My Love In The Morning', 'I Lost My Love', 'I Lost My Love And I Care Not', 'I Love You Not And Care For You Not', ""Johnny Mick Dinny's"", 'Kiss The Maid Behind The Bar', 'Kiss The Maid Behind The Bier', 'Kiss The Maid Behind The Byre', ""McCusker's"", 'Mo Ghrása Ar Maidin', 'My Love In The Morning', 'Old Comrades', ""Patrick Kelly's Favourite"", 'Pussycat Up In A Plum Tree', 'Pussycat Up In The Plum Tree', 'Pussycat Up The Plum Tree', 'Pussycats Up In Plum Trees', 'Segmented, The', 'She Never Would Leave Me', 'She Would Never Leave Me', 'This Is My Love Do You Like Her?', 'This Is My Love, Do You Like Her', 'Tony Of The Gap', 'Up To See Grandma']"
7,Bonaparte Crossing The Rhine,"['Battle Call Of The Fianna', 'Battle Of Waterloo, The', 'Bonaparte Crossing The Alps', 'Bonaparte Crossing The Rockies', 'Bonaparte Crossing The Rocky Mountains', ""Bonaparte's"", ""Bonnie's"", 'Caledonian', 'Cead Suí Do Mhag Uidhir', 'Fare Thee Well Sweet Killaloe', 'Hot Asphalt', 'Johnny Get Up', 'Let Mr. Maguire Sit Down', 'Listowell', 'Mick Maguire', 'Mr Maguire', 'Mr. Maguire', 'Napolean Crossing The Alps', 'Old Cuckoo, The', 'Rohallion', 'Shermans Maech', 'Star Of Columbia, The', 'Sweet Killaloe']"
8,"Banshee, The","['Bansee, The', 'Bean An Mullóga Sióg', 'Bean Si, The', 'Bean Sidhe', ""James McMahon's"", ""James McMahon's #3"", 'Kilcavan Banks', 'Kilcavan Banks, The', ""MacMahon's"", ""McMahon's"", ""Miss McMahon's"", 'Moyasta Junction', 'Moyasta, The', 'Willing Hands']"
9,Banish Misfortune,"['Banished Misfortune', 'Díbir Anachain', 'Díbir Mí-Ádh', 'Horse Under The Stairs, The', 'Humours Of Mullinafauna, The', 'Little Bag Of Meal, The', ""Mammy's Horse Is Dying"", 'Mangled Badger, The', 'Ruaig An Mí-ádh', 'Stoat That Ate Me Sandals, The', 'Whore Amongst The Nettles Roaring, The']"
10,"Butterfly, The","[""Barney's Goat"", 'Bug, The', 'Butterfly Gig, The', 'Eitil Im', 'Fiona', 'Im Ag Eitilt', 'Kick The Peeler', 'Red Admiral Butterfly, The', 'Red Monarch Butterfly, The']"
11,"Boys Of Malin, The","['Boys Of Mallin, The', 'Boys Of Mallow, The', ""Karen Logan's""]"
12,"Cliffs Of Moher, The","['Cliffs Of Mohir, The']"
